Rank,#,Name,Tier,Score
1,032,Chain Chin,Legendary,97
2,028,Cracked Cosmos,Legendary,96
3,018,Double Target,Legendary,95
4,026,88 Million,Legendary,94
5,020,Pulse Royalty,Legendary,93
6,007,Angel SH,Legendary,92
7,030,Calligraphy,Epic,91
8,017,Dollar Crown,Legendary,90
9,029,Demon Eye,Epic,89
10,013,Graveyard,Epic,88
11,024,Alien Head,Epic,87
12,015,S Girl,Epic,86
13,011,Chicken Wing,Epic,85
14,022,Face Thief,Epic,84
15,031,Bird Cage,Epic,83
16,035,Truth Is Unity,Epic,82
17,010,Rules,Rare,80
18,004,Slay Girl,Rare,78
19,033,Fat Pig,Rare,77
20,027,Big Back,Rare,76
21,008,Gey Boi,Rare,75
22,016,Old Blood,Rare,74
23,019,Borrowed Face,Rare,73
24,001,Death of SH,Rare,72
25,034,4.0 Protocol,Rare,71
26,006,Fatty,Rare,70
27,009,Nothing,Uncommon,62
28,021,Heartlocked,Uncommon,60
29,002,Man Bladder,Uncommon,58
30,005,67,Uncommon,55
31,025,Warm Target,Uncommon,54
32,014,Cool Boy,Uncommon,52
33,012,No Aura,Common,40
34,023,Happy Guy,Common,38
35,003,No Jawliner,Common,35
